video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: ArcFace, candidate score: 1.1, time taken: 17.442845344543457, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: ArcFace, candidate score: 1.05, time taken: 14.145312786102295, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: ArcFace, candidate score: 1.0, time taken: 14.597064971923828, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: ArcFace, candidate score: 0.95, time taken: 14.67844009399414, correct detections: 46, incorrect detections: 1, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: ArcFace, candidate score: 0.9, time taken: 14.425922393798828, correct detections: 38, incorrect detections: 9, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: SFace, candidate score: 1.1, time taken: 9.735763311386108, correct detections: 29, incorrect detections: 0, no detections: 18
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: SFace, candidate score: 1.05, time taken: 10.695902824401855, correct detections: 28, incorrect detections: 1, no detections: 18
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: SFace, candidate score: 1.0, time taken: 9.374486207962036, correct detections: 9, incorrect detections: 20, no detections: 18
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: SFace, candidate score: 0.95, time taken: 9.081328868865967, correct detections: 4, incorrect detections: 25, no detections: 18
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: SFace, candidate score: 0.9, time taken: 9.179208755493164, correct detections: 2, incorrect detections: 27, no detections: 18
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet512, candidate score: 1.1, time taken: 18.488009691238403, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet512, candidate score: 1.05, time taken: 13.017855644226074, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet512, candidate score: 1.0, time taken: 13.752110481262207, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet512, candidate score: 0.95, time taken: 13.478657245635986, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet512, candidate score: 0.9, time taken: 15.554991245269775, correct detections: 46, incorrect detections: 0, no detections: 1
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: OpenFace, candidate score: 1.1, time taken: 15.072077989578247, correct detections: 1, incorrect detections: 0, no detections: 41
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: OpenFace, candidate score: 1.05, time taken: 13.193252086639404, correct detections: 1, incorrect detections: 0, no detections: 41
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: OpenFace, candidate score: 1.0, time taken: 13.173793315887451, correct detections: 1, incorrect detections: 0, no detections: 41
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: OpenFace, candidate score: 0.95, time taken: 14.20468783378601, correct detections: 1, incorrect detections: 0, no detections: 41
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: OpenFace, candidate score: 0.9, time taken: 13.051167726516724, correct detections: 1, incorrect detections: 0, no detections: 41
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: DeepFace, candidate score: 1.1, time limit exceeded, correct detections: 2, incorrect detections: 0, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: DeepFace, candidate score: 1.05, time taken: 19.400050163269043, correct detections: 2, incorrect detections: 0, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: DeepFace, candidate score: 1.0, time taken: 20.653000354766846, correct detections: 2, incorrect detections: 0, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: DeepFace, candidate score: 0.95, time taken: 19.782551288604736, correct detections: 2, incorrect detections: 0, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: DeepFace, candidate score: 0.9, time taken: 18.834648370742798, correct detections: 2, incorrect detections: 0, no detections: 16
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: VGG-Face, candidate score: 1.1, time taken: 28.48645544052124, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: VGG-Face, candidate score: 1.05, time taken: 25.700481414794922, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: VGG-Face, candidate score: 1.0, time taken: 23.939417839050293, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: VGG-Face, candidate score: 0.95, time taken: 23.90075373649597, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: VGG-Face, candidate score: 0.9, time taken: 23.782823085784912, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet, candidate score: 1.1, time taken: 19.779982566833496, correct detections: 39, incorrect detections: 0, no detections: 8
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet, candidate score: 1.05, time taken: 14.560022115707397, correct detections: 39, incorrect detections: 0, no detections: 8
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet, candidate score: 1.0, time taken: 14.797332286834717, correct detections: 39, incorrect detections: 0, no detections: 8
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet, candidate score: 0.95, time taken: 16.413717031478882, correct detections: 39, incorrect detections: 0, no detections: 8
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: opencv, model_name: Facenet, candidate score: 0.9, time taken: 14.934384107589722, correct detections: 39, incorrect detections: 0, no detections: 8
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 1.1, time taken: 12.313577651977539, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 1.05, time taken: 10.336238145828247, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 1.0, time taken: 10.224537134170532, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 0.95, time taken: 10.383277654647827, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: ArcFace, candidate score: 0.9, time taken: 11.219062089920044, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: SFace, candidate score: 1.1, time taken: 10.663137674331665, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: SFace, candidate score: 1.05, time taken: 10.297527551651001, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: SFace, candidate score: 1.0, time taken: 10.25638461112976, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: SFace, candidate score: 0.95, time taken: 10.254197120666504, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: SFace, candidate score: 0.9, time taken: 10.303797483444214, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet512, candidate score: 1.1, time taken: 11.994313716888428, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet512, candidate score: 1.05, time taken: 10.054790735244751, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet512, candidate score: 1.0, time taken: 9.908913850784302, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet512, candidate score: 0.95, time taken: 12.547147274017334, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet512, candidate score: 0.9, time taken: 12.755990743637085, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: OpenFace, candidate score: 1.1, time taken: 10.443616151809692, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: OpenFace, candidate score: 1.05, time taken: 10.336516857147217, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: OpenFace, candidate score: 1.0, time taken: 10.200769424438477, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: OpenFace, candidate score: 0.95, time taken: 10.708513498306274, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: OpenFace, candidate score: 0.9, time taken: 12.314927101135254, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: DeepFace, candidate score: 1.1, time taken: 12.525541305541992, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: DeepFace, candidate score: 1.05, time taken: 12.02974820137024, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: DeepFace, candidate score: 1.0, time taken: 11.82102918624878, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: DeepFace, candidate score: 0.95, time taken: 10.861443996429443, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: DeepFace, candidate score: 0.9, time taken: 10.823537826538086, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: VGG-Face, candidate score: 1.1, time taken: 11.298876285552979, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: VGG-Face, candidate score: 1.05, time taken: 10.972472906112671, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: VGG-Face, candidate score: 1.0, time taken: 10.746779918670654, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: VGG-Face, candidate score: 0.95, time taken: 10.719492435455322, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: VGG-Face, candidate score: 0.9, time taken: 10.707289695739746, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet, candidate score: 1.1, time taken: 10.860267400741577, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet, candidate score: 1.05, time taken: 11.418776035308838, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet, candidate score: 1.0, time taken: 10.476893901824951, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet, candidate score: 0.95, time taken: 10.376350402832031, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: ssd, model_name: Facenet, candidate score: 0.9, time taken: 10.39662504196167, correct detections: 0, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: ArcFace, candidate score: 1.1, time taken: 45.35580062866211, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: ArcFace, candidate score: 1.05, time taken: 38.5336217880249, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: ArcFace, candidate score: 1.0, time taken: 38.57311177253723, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: ArcFace, candidate score: 0.95, time taken: 38.10882210731506, correct detections: 46, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: mtcnn, model_name: ArcFace, candidate score: 0.9, time taken: 38.63374733924866, correct detections: 45, incorrect detections: 0, no detections: 0
